"accession","disease","sample","epic_cancer","epic_caf","epic_endo","epic_immune"
"GSE75214","IBD","GSM1426175",0.779515336584735,0.00723179863786354,0.0645369956751216,0.14871586910228
"GSE75214","IBD","GSM1426176",0.775860167452401,0.0108872332982049,0.06206862314334,0.151183976106054
"GSE75214","IBD","GSM1426177",0.745803464269061,0.00929619657429814,0.0693239580988229,0.175576381057818
"GSE75214","IBD","GSM1426178",0.75419391480042,0.00939893667510888,0.0792105353235512,0.15719661320092
"GSE75214","IBD","GSM1426179",0.752385293296913,0.00725225216940262,0.0623419557457476,0.178020498787936
"GSE75214","IBD","GSM1426180",0.736651272386406,0.0113017242559304,0.0713317319402837,0.18071527141738
"GSE75214","IBD","GSM1426181",0.787805060170841,0.00944575541196004,0.0671289225352173,0.135620261881982
"GSE75214","IBD","GSM1426182",0.788581119440611,0.0108438866298303,0.0681042671887519,0.132470726740807
"GSE75214","IBD","GSM1426183",0.787839074233002,0.00800052679687423,0.0627615522913573,0.141398846678766
"GSE75214","IBD","GSM1426184",0.80450214211563,0.00527847164925011,0.0448094331838203,0.145409953051299
"GSE75214","IBD","GSM1426185",0.765397276273063,0.00687258992603854,0.0618724459102429,0.165857687890656
"GSE75214","IBD","GSM1426186",0.694693675617799,0.0230137674754507,0.106212471961743,0.176080084945007
"GSE87473","IBD","GSM2332079",0.774827231610542,0.00478764387815353,0.0543916987559489,0.165993425755356
"GSE87473","IBD","GSM2332080",0.691775999861809,0.00776134903367503,0.0631493374932264,0.23731331361129
"GSE87473","IBD","GSM2332081",0.764038903104741,0.00294582292820604,0.107239958310638,0.125775315656415
"GSE87473","IBD","GSM2332082",0.676941833441461,0.00876542961487827,0.0464471757528835,0.267845561190777
"GSE87473","IBD","GSM2332083",0.615497755306094,0.0195409816608026,0.0824895460298415,0.282471717003262
"GSE87473","IBD","GSM2332084",0.723542944708115,0.0109784639779988,0.0574863071947331,0.207992284119154
"GSE87473","IBD","GSM2332085",0.76795697004203,0.0127803918587531,0.0624087886801725,0.156853849419044
"GSE87473","IBD","GSM2332086",0.664379777638458,0.0170235208353743,0.0855641687972568,0.233032532728911
"GSE87473","IBD","GSM2332087",0.45107311287369,0.0500541511355273,0.190391755639816,0.308480980350967
"GSE87473","IBD","GSM2332088",0.680154228656848,0.0141242171171447,0.0816325699572154,0.224088984268792
"GSE87473","IBD","GSM2332089",0.784600693381805,0.00912669085033283,0.0496080037945156,0.156664611973347
"GSE87473","IBD","GSM2332090",0.736016979060009,0.0170509393957871,0.0823802102755301,0.164551871268673
"GSE87473","IBD","GSM2332091",0.751334565772539,0.011755360051544,0.0740390611465742,0.162871013029343
"GSE87473","IBD","GSM2332092",0.806899366356619,0.00425842914702875,0.0530119362550104,0.135830268241342
"GSE87473","IBD","GSM2332093",0.767988490458881,0.00878636963887186,0.0466084709063536,0.176616668995894
"GSE87473","IBD","GSM2332094",0.742694019669744,0.00799124376392005,0.0571850939141842,0.192129642652152
"GSE87473","IBD","GSM2332095",0.78987575489148,0.00739984117246189,0.0404510391193352,0.162273364816723
"GSE87473","IBD","GSM2332096",0.587810451144427,0.0193821793607332,0.0873181677237174,0.305489201771122
"GSE87473","IBD","GSM2332097",0.673164049129339,0.00784917838800623,0.0469278084208307,0.272058964061824
"GSE87473","IBD","GSM2332098",0.772322129326892,0.00887015757335264,0.0647533262567935,0.154054386842962
"GSE87473","IBD","GSM2332099",0.812275800754851,0.00581820204151576,0.0455953770704121,0.136310620133221
"GSE87473","IBD","GSM2332100",0.761045887214939,0.00748535346091254,0.0509434710674701,0.180525288256678
"GSE87473","IBD","GSM2332101",0.805256189393136,0.00928512265820023,0.035554767370255,0.149903920578409
"GSE87473","IBD","GSM2332102",0.81882839198446,0.0101263608305932,0.0621514195125848,0.108893827672362
"GSE87473","IBD","GSM2332103",0.787210523693414,0.00890112964790308,0.0598260549283149,0.144062291730368
"GSE87473","IBD","GSM2332104",0.803228594521546,0.010597370598621,0.0723969713608844,0.113777063518948
"GSE87473","IBD","GSM2332105",0.781021973077012,0.00747022116537883,0.0711218995332582,0.140385906224351
"GSE87473","IBD","GSM2332106",0.732359148447594,0.00986607552844892,0.0857188594333213,0.172055916590636
"GSE87473","IBD","GSM2332107",0.785216633090195,0.00882793318418122,0.0637561999331641,0.14219923379246
"GSE87473","IBD","GSM2332108",0.781824450856174,0.00969400139929383,0.0424301316357471,0.166051416108785
