"disease","feature","k","est_REML","se_REML","p_REML_KHNA","ci_lo","ci_hi","I2","tau2","est_DL","p_DL","cohorts","n_case","n_control","fdr"
"CRC","ERBB_RECEPTORS",3,0.103376045239532,0.0918397980884441,0.377249392026448,-0.291778712705352,0.498530803184415,51.4891728353854,0.0195027429264938,0.0997079533647943,0.34156542797955,"GSE44076;GSE41258;GSE23878",315,175,0.534436638704135
"ESCC","ERBB_RECEPTORS",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","ERBB_RECEPTORS",2,-0.000941347741347893,0.0184368161721211,0.967523642223491,-0.235203308707535,0.233320613224839,0,0,-0.000941347741347893,0.968101077984424,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","ERBB_RECEPTORS",3,-1.27941385863597,0.0360406338967878,0.000792585601134206,-1.43448419045388,-1.12434352681805,0,0,-1.27941385863597,1.28404340966788e-16,"GSE75214;GSE87473;GSE179285",202,75,0.00673697760964076
"LUAD","ERBB_RECEPTORS",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","ERBB_RECEPTORS",2,-0.124871154796315,0.275015059167776,0.728660869239422,-3.61926880211328,3.36952649252065,44.3605554095598,0.0686812158675039,-0.124871154796315,0.649791355275821,"GSE33814;GSE66676",62,47,0.930197205970223
"PAAD","ERBB_RECEPTORS",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","ERBB_RECEPTORS",3,-0.00195813757475384,0.0271960555583535,0.949153606539005,-0.118973320261322,0.115057045111814,0,0,-0.0161837730454014,0.664657135726159,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","FGFR_AXIS",3,-0.160563366185648,0.213096761133226,0.5297863558909,-1.07744472717629,0.756317994804997,62.4750882123413,0.0884874308913058,-0.160068500480999,0.467227840719157,"GSE4302;GSE43696;GSE67472",192,91,0.562898003134081
"COPD","FGFR_AXIS",2,-0.194246903306511,0.226807250735022,0.549132372567781,-3.07610626679461,2.68761246018159,74.6350117859836,0.0772931599800448,-0.194246903306511,0.391754199971058,"GSE76925;GSE47460",256,131,0.657425267648363
