"feature","estimate","ci_low","ci_high","p_value","fdr","smd","accession","disease","role"
"TIE_ANGPT_AXIS",0.480990467958699,0.251416445853349,0.710564490064049,4.92550282078595e-05,0.000139555913255602,1.08249678539463,"GSE179285","IBD","validation"
"VEGF_PDGF_AXIS",0.49553391374334,0.323192447146828,0.667875380339853,3.65684293477624e-08,3.1083164945598e-07,1.51300031323188,"GSE179285","IBD","validation"
"WNT_CTNNB1",0.00260740715594564,-0.224313075503995,0.229527889815886,0.98197234446635,0.98197234446635,0.174621164566006,"GSE179285","IBD","validation"
"EPH_RECEPTORS",0.190506905771734,-0.0877056990486694,0.468719510592138,0.177683312174915,0.274601482452142,0.397939849599017,"GSE16879","IBD","secondary_treatment_response"
"ERBB_LIGANDS",-0.301005204530806,-0.510673932838001,-0.0913364762236107,0.00527060170517964,0.0283193979992841,-0.766297304561918,"GSE16879","IBD","secondary_treatment_response"
"ERBB_RECEPTORS",0.282461195744737,0.0485247137602041,0.516397677729269,0.0183835493814072,0.041973295576738,0.68696322837023,"GSE16879","IBD","secondary_treatment_response"
"FGFR_AXIS",-0.0940757603938438,-0.311241090007073,0.123089569219385,0.392943151297435,0.474611935209553,-0.347994735921112,"GSE16879","IBD","secondary_treatment_response"
"HGF_MET_AXIS",-0.335566592981546,-0.59548679950717,-0.0756463864559213,0.0118402786919582,0.0335474562938815,-0.728162767178982,"GSE16879","IBD","secondary_treatment_response"
"IGF_INSR_AXIS",-0.0955727906487614,-0.328832019671984,0.137686438374461,0.418775236949605,0.474611935209553,-0.225236746089805,"GSE16879","IBD","secondary_treatment_response"
"JAK_STAT",-0.282259575418211,-0.497485617723093,-0.0670335331133293,0.0106006107870088,0.0335474562938815,-0.762842805780876,"GSE16879","IBD","secondary_treatment_response"
"PDGFR_KIT_CSF1R",-0.392655252092705,-0.603143505908085,-0.182166998277325,0.000336101058532348,0.00285685899752496,-1.09611021724916,"GSE16879","IBD","secondary_treatment_response"
"PI3K_AKT",-0.00606903243618705,-0.229820525182335,0.217682460309961,0.957280365078732,0.957280365078732,-0.0197450447291004,"GSE16879","IBD","secondary_treatment_response"
"RAS_MAPK",-0.159627440249894,-0.349667912500909,0.0304130320011207,0.0989337894448633,0.168187442056268,-0.545743080547426,"GSE16879","IBD","secondary_treatment_response"
"RET_ALK_NTRK",0.123729969915362,-0.0774294357338759,0.3248893755646,0.225633403112561,0.295059065608734,0.361601959089058,"GSE16879","IBD","secondary_treatment_response"
"SRC_FAK",-0.138570640933511,-0.362187375483684,0.0850460936166629,0.222207670192944,0.295059065608734,-0.367894550161351,"GSE16879","IBD","secondary_treatment_response"
"TAM_AXL_AXIS",-0.328526861883741,-0.60381519244576,-0.0532385313217215,0.0197521390949355,0.041973295576738,-0.699475640028422,"GSE16879","IBD","secondary_treatment_response"
"TGFB_SMAD",-0.254198738806858,-0.480272376019321,-0.0281251015943949,0.0278709474401254,0.0526451229424591,-0.649425895446403,"GSE16879","IBD","secondary_treatment_response"
"TIE_ANGPT_AXIS",-0.572735175544938,-0.814603641712446,-0.33086670937743,7.44549465259285e-06,0.000126573409094078,-1.37745947308767,"GSE16879","IBD","secondary_treatment_response"
"VEGF_PDGF_AXIS",-0.288141890413043,-0.494719714474177,-0.0815640663519099,0.00666338776453744,0.0283193979992841,-0.820543839273618,"GSE16879","IBD","secondary_treatment_response"
"WNT_CTNNB1",-0.0526373862186522,-0.281553621032573,0.176278848595269,0.649688150891803,0.69029366032254,-0.1389424408046,"GSE16879","IBD","secondary_treatment_response"
"EPH_RECEPTORS",NA,NA,NA,NA,NA,0.364276628614771,"GSE4302","Asthma","discovery"
"ERBB_LIGANDS",NA,NA,NA,NA,NA,-0.409443389881561,"GSE4302","Asthma","discovery"
"ERBB_RECEPTORS",NA,NA,NA,NA,NA,-0.195457448325599,"GSE4302","Asthma","discovery"
"FGFR_AXIS",NA,NA,NA,NA,NA,0.163193535496653,"GSE4302","Asthma","discovery"
"HGF_MET_AXIS",NA,NA,NA,NA,NA,-0.524639742206656,"GSE4302","Asthma","discovery"
"IGF_INSR_AXIS",NA,NA,NA,NA,NA,-0.861111460935441,"GSE4302","Asthma","discovery"
"JAK_STAT",NA,NA,NA,NA,NA,-0.141873802577849,"GSE4302","Asthma","discovery"
"PDGFR_KIT_CSF1R",NA,NA,NA,NA,NA,0.196117065060595,"GSE4302","Asthma","discovery"
"PI3K_AKT",NA,NA,NA,NA,NA,0.315773121466566,"GSE4302","Asthma","discovery"
"RAS_MAPK",NA,NA,NA,NA,NA,0.431451715948474,"GSE4302","Asthma","discovery"
"RET_ALK_NTRK",NA,NA,NA,NA,NA,-0.105703858906676,"GSE4302","Asthma","discovery"
"SRC_FAK",NA,NA,NA,NA,NA,0.293358308365075,"GSE4302","Asthma","discovery"
"TAM_AXL_AXIS",NA,NA,NA,NA,NA,0.457957905911298,"GSE4302","Asthma","discovery"
"TGFB_SMAD",NA,NA,NA,NA,NA,-0.0569749319662668,"GSE4302","Asthma","discovery"
