context,module,cell_type,paired,n_case_patients,n_control_patients,n_pairs,case_patient_mean,control_patient_mean,paired_diff_mean,p_value,p_method,fdr_global,fdr_context
STAD,VEGF_PDGF_AXIS,type EC enteroendocrine cell,False,21,28,0,0.048557508258317235,0.06095058811389766,,0.3403035716334296,mannwhitneyu,0.6440573661928387,0.7706669339059607
STAD,VEGF_PDGF_AXIS,type G enteroendocrine cell,False,13,27,0,0.04710773533353439,0.0480153335330806,,0.6631220058840048,mannwhitneyu,0.8707662703527337,0.9473171512628641
STAD,VEGF_PDGF_AXIS,type X enteroendocrine cell,False,13,27,0,0.06182127860908671,0.06358188259971172,,0.7282666106700683,mannwhitneyu,0.9467465938710887,0.9873730002732902
STAD,HGF_MET_AXIS,BEST4+ enterocyte,False,5,7,0,0.0,0.0723424603864228,,0.06639318527112506,mannwhitneyu,0.25764016544117646,0.3954684003685565
STAD,HGF_MET_AXIS,enterocyte,False,19,22,0,0.08248799156329123,0.08583950300888378,,0.9372540784722116,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,HGF_MET_AXIS,enteroendocrine cell,False,23,27,0,0.054039265831721646,0.04531022627214151,,0.5941903078315091,mannwhitneyu,0.8217525533840019,0.8912854617472636
STAD,HGF_MET_AXIS,epithelial cell,False,28,34,0,0.08990609215324118,0.08878951484841825,,0.8819307212779461,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,HGF_MET_AXIS,foveolar cell of stomach,False,28,34,0,0.10349383207128872,0.10399135069134925,,0.9267439056002764,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,HGF_MET_AXIS,intestine goblet cell,False,22,21,0,0.05035400984862608,0.06035911822772132,,0.5430135663542873,mannwhitneyu,0.7759760109109503,0.8356664732887156
STAD,HGF_MET_AXIS,mucous neck cell of gastric gland,False,27,34,0,0.048213917638512176,0.044093611855662095,,0.30942495024942895,mannwhitneyu,0.6257997928241841,0.7509597513890208
STAD,HGF_MET_AXIS,parietal cell,False,19,31,0,0.013629577306068294,0.04808335210134239,,0.0001850854281861506,mannwhitneyu,0.008020368554733193,0.011105125691169037
STAD,HGF_MET_AXIS,peptic cell,False,19,26,0,0.03002781905050607,0.012288574095167546,,0.08181536813286724,mannwhitneyu,0.2784756652595252,0.3954684003685565
STAD,HGF_MET_AXIS,type EC enteroendocrine cell,False,21,28,0,0.0799426634998431,0.06528554886765245,,0.966942298007959,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,HGF_MET_AXIS,type G enteroendocrine cell,False,13,27,0,0.022186381069374532,0.04047881955856701,,0.4042001249572862,mannwhitneyu,0.6948940611206676,0.7817558187607511
STAD,HGF_MET_AXIS,type X enteroendocrine cell,False,13,27,0,0.01042186454325222,0.035301568324064427,,0.2616067554747372,mannwhitneyu,0.5863599691675144,0.7310179130255602
STAD,EPH_RECEPTORS,BEST4+ enterocyte,False,5,7,0,0.0,0.07496107055188773,,0.06639318527112506,mannwhitneyu,0.25764016544117646,0.3954684003685565
STAD,EPH_RECEPTORS,enterocyte,False,19,22,0,0.08713929210738795,0.08262842503357287,,0.8852454951703917,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,EPH_RECEPTORS,enteroendocrine cell,False,23,27,0,0.05456892464937386,0.03721787330467538,,0.34680012025768236,mannwhitneyu,0.6440573661928387,0.7706669339059607
STAD,EPH_RECEPTORS,epithelial cell,False,28,34,0,0.12321282648347824,0.09262132718766633,,0.0029059531890739928,mannwhitneyu,0.03620147705078125,0.05811906378147985
STAD,EPH_RECEPTORS,foveolar cell of stomach,False,28,34,0,0.1075274800877617,0.07899624569921032,,0.08568482007985391,mannwhitneyu,0.2784756652595252,0.3954684003685565
STAD,EPH_RECEPTORS,intestine goblet cell,False,22,21,0,0.0843705706893665,0.10447689083714307,,0.931489476608178,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,EPH_RECEPTORS,mucous neck cell of gastric gland,False,27,34,0,0.08842081900261528,0.06067693244507052,,0.014418741271956066,mannwhitneyu,0.0892588745406804,0.1730248952634728
STAD,EPH_RECEPTORS,parietal cell,False,19,31,0,0.030724869407921688,0.04306880467216944,,0.010822510664782022,mannwhitneyu,0.0781625770234257,0.16233765997173033
STAD,EPH_RECEPTORS,peptic cell,False,19,26,0,0.018384119532675963,0.007017912856254384,,0.9415266557768986,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,EPH_RECEPTORS,type EC enteroendocrine cell,False,21,28,0,0.022752141042409288,0.0188515097157549,,0.12941074247114942,mannwhitneyu,0.373853256027765,0.5085600134575129
STAD,EPH_RECEPTORS,type G enteroendocrine cell,False,13,27,0,0.036480287547572786,0.03655889567871395,,0.7518311340809407,mannwhitneyu,0.9677034399061613,0.9873730002732902
STAD,EPH_RECEPTORS,type X enteroendocrine cell,False,13,27,0,0.0010782473967971581,0.011046599415709917,,0.05177064745496737,mannwhitneyu,0.24036372032663422,0.3954684003685565
STAD,JAK_STAT,BEST4+ enterocyte,False,5,7,0,0.09037332236766815,0.12472044915218891,,0.6236797393048898,mannwhitneyu,0.8376288659793815,0.912702057519351
STAD,JAK_STAT,enterocyte,False,19,22,0,0.10701587436249194,0.10011643931424487,,0.5131803633525807,mannwhitneyu,0.7699554267970995,0.8356664732887156
