accession,disease,feature,paired,patient_ids_available,n_both_arm_patients,n_case,n_control,npair,r_emp,measure,yi,vi,mean_case,sd_case,mean_ctrl,sd_ctrl,beta_base,se_base,p_base,not_estimable_reason
GSE27342,STAD,PDGFR_KIT_CSF1R,TRUE,TRUE,80,80,80,80,0.155065508444762,SMCRPH,-0.0290101717352126,0.0214372382377626,0.00628148203144364,0.453517563145853,0.0186165479875969,0.390378057250852,-0.0123350659561533,0.0615595836751105,0.841701433932729,
GSE27342,STAD,PI3K_AKT,TRUE,TRUE,80,80,80,80,0.321730641437056,SMCRPH,0.560476978633465,0.0185064525609754,0.123449661159321,0.339960522499875,-0.0931445436252373,0.424241601444836,0.216594204784558,0.0503426551996684,4.79495290225199e-05,
GSE27342,STAD,RAS_MAPK,TRUE,TRUE,80,80,80,80,0.107524275103724,SMCRPH,0.442744478049775,0.0232227665310616,0.103847115623611,0.33987310431024,-0.0490412134305115,0.347402320118017,0.152888329054123,0.0513335581066586,0.00384779869009205,
GSE27342,STAD,RET_ALK_NTRK,TRUE,TRUE,80,80,80,80,0.0799119105060799,SMCRPH,-1.15148100368772,0.0276228190240252,-0.194213281099166,0.302511749882274,0.183977323595708,0.349528343079434,-0.378190604694875,0.0495963986921282,4.66216777522818e-11,
GSE27342,STAD,SRC_FAK,TRUE,TRUE,80,80,80,80,0.204870261275265,SMCRPH,0.403350945014211,0.0206676073671384,0.117185479323437,0.421333956861908,-0.0553746955090774,0.43001453973604,0.172560174832515,0.0600206351342499,0.00518980501677921,
GSE27342,STAD,TGFB_SMAD,TRUE,TRUE,80,80,80,80,0.216357021378597,SMCRPH,0.49522259801863,0.0206519304304478,0.120766063955689,0.412958112676313,-0.0859361578673904,0.417657577911271,0.20670222182308,0.0581313022234012,0.000640235095753122,
GSE27342,STAD,TIE_ANGPT_AXIS,TRUE,TRUE,80,80,80,80,0.184306593943139,SMCRPH,-0.0021999867911272,0.0206811976630767,0.0162704772496146,0.508881442731889,0.0173361581675174,0.4535732806479,-0.00106568091790301,0.0688846482656717,0.987695812234423,
GSE27342,STAD,VEGF_PDGF_AXIS,TRUE,TRUE,80,80,80,80,0.231946737244002,SMCRPH,0.390457356402001,0.0200417715649484,0.0572861870750398,0.389412211990298,-0.0845082379090727,0.330871767213412,0.141794424984112,0.0501681432017655,0.00596037248864717,
GSE27342,STAD,WNT_CTNNB1,TRUE,TRUE,80,80,80,80,-0.0837724640486586,SMCRPH,0.41013356357775,0.0279697634526479,0.0778728059116899,0.393022832466287,-0.0778607761240493,0.362137513368003,0.155733582035739,0.0621949467503329,0.0143414872999666,
GSE63089,STAD,EPH_RECEPTORS,TRUE,TRUE,45,45,45,45,-0.0153150413953705,SMCRPH,1.86205745625783,0.0666150243331657,0.291227153434368,0.393816897027182,-0.384490664470632,0.32217572669029,0.675717817904999,0.0764162923874072,2.57387895074386e-11,
GSE63089,STAD,ERBB_LIGANDS,TRUE,TRUE,45,45,45,45,0.374092104393404,SMCRPH,-0.201150029871958,0.0291074823134853,-0.0472108893013431,0.426339205073117,0.0314567979367011,0.343801755575012,-0.0786676872380447,0.0650297011209001,0.232846168331126,
GSE63089,STAD,ERBB_RECEPTORS,TRUE,TRUE,45,45,45,45,0.2439647215652,SMCRPH,-0.354295038472236,0.0355044887289849,-0.0600223541080053,0.484427977035963,0.0950969385469379,0.376556153171159,-0.155119292654943,0.0799249198069149,0.0587043092409252,
GSE63089,STAD,FGFR_AXIS,TRUE,TRUE,45,45,45,45,-0.0971645217933822,SMCRPH,-0.382756539371328,0.0505887869938445,-0.106826107260831,0.2908341892569,0.0266677825707348,0.393082939456648,-0.133493889831566,0.0762036452457315,0.08677521618744,
GSE63089,STAD,HGF_MET_AXIS,TRUE,TRUE,45,45,45,45,0.245286762363548,SMCRPH,1.21230014431298,0.0432202191365873,0.231468975841027,0.403513569535244,-0.279902817999382,0.431990604030166,0.511371793840408,0.0765833191479218,3.40250192061947e-08,
GSE63089,STAD,IGF_INSR_AXIS,TRUE,TRUE,45,45,45,45,0.0823583159991743,SMCRPH,0.0417897205384416,0.0417867800501907,0.00710274149752822,0.535915312106252,-0.0136389001064557,0.443893981519149,0.0207416416039841,0.0994499000504858,0.835751337576519,
